index,Job Title,Job Description,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,SalaryEstimate,City,State,Headquarter State,Min Salary,Max Salary,Avg Salary,company_age,Job Type,Python,Spark,Big Data,Excel
249,Computer Scientist 1,"Computer Scientist  NSBU | Melbourne, FL, United States  Why Join Rincon Research Corporation (RRC)?  At Rincon Research Corporation, our primary business is innovating, developing, and fielding digital signal processing (DSP) products and services for the United States Defense and Intelligence Communities in support of national security.  Rincon Research Corporation seeks a candidate that has a broad software and computer skillset but is interested in advanced signal processing applications.  Come join the team that is creating cutting edge signal processing, geolocation, and communication systems for the future!  What are the primary responsibilities in the Jr. Computer Scientist position?  Candidate will be responsible for developing within a heterogeneous software repository containing code in Python, MATLAB, C++ and Java. Candidate will also be responsible for maintaining this repository and its accessibility. Machine Learning, Cloud Technology, and a strong CS background is highly desired. Good communication skills with ability to interact with remote co-workers and customers are required. Looking for people able to find creative and cutting-edge solutions for customer issues.  What required background will make you successful? Bachelor�s Degree in Computer Science, Electrical Engineering, or other equivalent field of discipline Some experience in scientific programming Experience programming in a high-level language such as C/C++ on Unix/Linux platforms Experience programming in high level interpreted languages such as PYTHON and/or MATLAB Familiarity with interfacing C/C++ libraries within interpreted languages. Ability to obtain and maintain TS/SCI security clearance US CITIZENSHIP REQUIRED Where is the position located?  This position is located at our Melbourne, FL office.  What benefits does RRC offer? 100% employer-paid premiums for family medical and dental insurance, employee life insurance, short-term and long-term disability (STD & LTD) Flexible reimbursement spending accounts for medical expense and dependent care Immediate participation and vesting in the company�s Employee Stock Ownership Plan (ESOP) and 401(k) Plan Employer contributions to RRC�s ESOP Employer matching contributions to the company�s 401( k) Plan Employer discretionary contributions to the company�s 401(k) Plan Rincon Research Corporation is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, creed, religion, national origin, sex, sexual orientation, gender identity and expression, age, disability, veteran status, or any other protected factor.",42,Rincon Research Corporation 4.2,201 - 500 ,1983,Private Company,Aerospace and Defense,Aerospace and Defense,50 to 100 million ,90-124 ,Tucson, FL, AZ,90000,124000,107000,41,NA,1,0,0,0
394,Computer Vision / Deep Learning Scientist,"Passionate about precision medicine and advancing the healthcare industry?  Recent advancements in underlying technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.  We are looking for Computer Vision / Deep Learning Scientist who are passionate about the prospect of building the most advanced data platform in precision medicine.  What You'll Do Research and development of novel imaging data based machine learning algorithms for the product platform Apply statistical and machine learning methods to analyze large, complex data sets Communicate highly technical results and methods clearly Interact cross-functionally with a wide variety of people and teams Qualifications PhD degree in a quantitative discipline (e.g. statistics, statistical genetics, imaging science, computational biology, computer science, applied mathematics, applied physics or similar) or equivalent practical experience Experience developing, training, and evaluating deep-learning models using public deep learning frameworks (e.g. PyTorch, TensorFlow, and Keras) Experience developing, training, and evaluating classical machine/deep learning models, such as, SVMs, Random Forests, Gradient Boosting, CNN, FCN, ResNet, GAN, etc. Familiar with CUDA and GPU computing Knowledge of different medical imaging modalities, such as DICOM formats and pathology images Self-driven and work well in an interdisciplinary team with minimal direction Thrive in a fast-paced environment and willing to shift priorities seamlessly Nice to Haves Kaggle.com competitions and/or kernels track record Experience with AWS architecture Experience working with survival analysis, clinical and/or genomic data Experience working with Docker containers and cloud-based compute environments. Familiarity with neural network techniques (batch-norm, residual connections, inception modules, etc)",33,Tempus Labs 3.3,501 - 1000 ,2015,Private Company,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,N/A,110-163 ,Chicago, IL, IL,110000,163000,136500,9,NA,0,0,0,0
68,Data & Machine Learning Scientist,"Passionate about precision medicine and advancing the healthcare industry?  Recent advancements in underlying technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.  We are looking for machine learning, deep learning, and data science experts who are passionate about applying state of the art techniques to the processing and integrative analyses of vast amounts of data. The ideal candidate has significant expertise in the biomedical or clinical domain, and is eager to apply his or her skills to improve patient outcomes  What You'll Do Analyze and integrate large diverse clinical, molecular, biosignal and imaging datasets to extract insights, and drive research opportunities. Design and prototype novel analysis tools and algorithms for predicting patient outcome and treatment response in oncology and cardiology Collaborate with product, science, engineering, and business development teams to build the most advanced data platform in precision medicine. Interrogate analytical results for robustness, validity, and out of sample stability. Document, summarize, and present your findings to a group of peers and stakeholders. Provide technical leadership & expertise across multiple modeling projects. Qualifications MS/PhD degree in a quantitative discipline (e.g. statistical genetics, cancer genetics, machine learning, bioinformatics, statistics, computational biology, applied mathematics, physics, or similar). 2+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data Outstanding analytical and problem solving skills, with a particular focus on understanding the intricacies of molecular or multi-modal data sets. Expert-level experience with supervised and unsupervised machine learning algorithms, and ensemble methods, such as: PCA, regression, deep neural networks, decision trees, gradient boosting, generalized linear models, mixed effect models, non-linear low dimensional embeddings and clustering. Proficient in Python and SQL. Experience with the following: Pandas, NumPy, SciPy, Scikit-learn, Jupyter Notebooks, and a machine learning framework such as TensorFlow, SageMaker, or PyTorch Strong programming skills. Thrive in a fast-paced environment and willing to shift priorities seamlessly. Experience with communicating insights and presenting concepts to diverse audiences. Team player mindset and ability to work in an interdisciplinary team. Goal orientation, self motivation, and drive to make a positive impact in healthcare. Nice to Haves Experience working with genomic, biosignal, clinical, or imaging data. Strong peer-reviewed publication record. Kaggle.com competitions and/or kernels track record Experience with: Git, matplotlib, seaborn, HTML5, CSS3, JavaScript, D3, Plot.ly, Flask, Dask, Docker, AWS. Experience working in a Linux / Mac and AWS cloud environments. Experience in agile environments and comfort with quick iterations.",33,Tempus Labs 3.3,501 - 1000 ,2015,Private Company,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,N/A,79-131 ,Chicago, IL, IL,79000,131000,105000,9,NA,1,0,0,0
40,Data Analyst,"Data Analyst Location   Boston  Business Function   Portfolio Services  Apply Now  Job Description:   Enterprise Data Support Services is a newly formulated centralized group that is going to play a pivotal role in building the next generation of tools and platforms to address the data needs for end users and applications through the creation, maintenance and use of an Enterprise level data platform. This platform is being built to not only support data but also provide capabilities of centralized calculation engines for data accuracy and data consistency. This position reports into the Manager of Enterprise Data Support Services as part of the organization under the Chief Data Officer.  The Data Analyst will serve as a flexible generalist by providing data analysis and analytical insight based on the requests from Investment and Business Development teams. The individual will utilize data analysis tools such as Excel, SQL, R or Python to collate data from various sources, analyze the information and provide insights and analysis to the requesting teams. In conjunction with IT, the individual will verify any new data being added to the Central Data Repository to sign-off on data completeness and accuracy from a business domain perspective.  Principal Duties : Work with investment teams to understand their data needs and translate them into a process to collate and analyze data to provide insights Use statistical models and industry recognized investment data calculation methodologies to perform various data analytics in SQL and MS Excel Exercise relational database knowledge to construct and execute SQL queries to be used in data analysis activities Use other tools such as R and Python to manipulate data to address the information needs across the organization Build and maintain strong relationships across the firm to understand CA�s business goals and prepare for the organization�s evolving data needs Contribute to additional projects where relevant domain or data analysis expertise is needed Qualifications:   Bachelor�s Degree, with preference to Data Analytics, Information Systems, or Mathematics Demonstrated skill in SQL usage as part of data analysis Working knowledge of R or Python is desirable Working knowledge of relational database design concepts Demonstrated track record of working autonomously in a highly-productive environment, executing with comfort in gray areas, and executing across multiple competing deadlines with fast-paced delivery targets Excellent organizational, written and verbal communication skills Willingness to learn and embrace a �jack of all trades� mentality to build expertise and data depth across the entire Enterprise Data Support Services product suite Demonstrated progression towards CIPM, CFA, and/or CAIA certification is a big plus Direct experience integrating data from multiple sources such as client, fund, and market data domains strongly preferred",31,"Cambridge Associates, LLC 3.1",501 - 1000 ,1973,Private Company,Investment Banking and Asset Management,Finance,100 to 500 million ,75-131 ,Boston, MA, MA,75000,131000,103000,51,NA,1,0,0,1
340,Data Analyst - Unilever Prestige,"Data Analyst - Unilever Prestige Job Code  3949  Location   US - Carson, CA Corporate HQ  Position Type   Regular Full-Time  Apply Now  Data Analyst - Unilever Prestige  Unilever Prestige is a portfolio of high-end beauty brands wholly owned by Unilever Corporate. The companies consist of Dermalogica, Murad, Kate Somerville, Ren, Living Proof, Hourglass, Garancia, and most recently Tatcha. We have an active finance community that thinks collaboratively across the different businesses to balance individual business models with common processes and solutions.  The portfolio is in search of an exceptional and highly capable Data Analyst to help build a central analytics platform for Prestige brands and also perform data analysis. This position will report directly to the CRM Director and work cross-functionally with IT, data, ecommerce, and operations teams from all Prestige brands. The role will be primarily based at Murad in El Segundo, CA.  Responsibilities Build and maintain data warehouse using Snowflake, sourcing data from a variety of data sources, across all eight Prestige brands Write data transformation scripts, as necessary, to integrate data across all prestige brands Interpret data from CDP, eCommerce platforms etc. and build analysis on top of those datasets Understand, analyze complex data models and tell a story from data Create informative data visualizations to communicate data insights to business stakeholders Define KPIs, create reports and dashboards using large data sets Support and maintain dashboards and data refreshes Run complex SQL queries to prepare the data for creating predictive models Build predictive models Other ad-hoc analysis projects Qualifications 3+ years of experience in developing Analytics/BI applications and analyzing data Strong SQL skills. Experience with Microsoft SQL server and Snowflake Extensive experience and Expert level knowledge in Tableau. Experience with other BI platforms a plus Extensive experience in writing scripts to extract and transform data. Python, SQL scripts or other ETL tools Experience with data models and data analytics Experience in CRM and CDP and familiarity with different tools used Experience building predictive models. SAS or R skills required Exceptional verbal, written, and visual communication skills. Attention to detail Structured approach to problem solving and exceptional analytical skills Ability to think creatively and to work well both as part of a team and as an individual contributor Bachelor�s in Computer Science or related field To be considered for this role, please click on ""Apply"" to complete your online application. Please know that all applications are reviewed for consideration. A member of the Human Resources team will contact you if your experience and skills are a match for the position.",38,Dermalogica 3.8,201 - 500 ,1986,Business,Consumer Products Manufacturing,Manufacturing,100 to 500 million ,79-147 ,Carson, CA, CA,79000,147000,113000,38,NA,1,0,0,0
42,Data Analyst I,"Who is Cenlar?  You are.  Employee-owners have made Cenlar one of the nation�s largest mortgage subservicers. We have achieved success by empowering people with company ownership, real programs that provide avenues for advancement, and a great atmosphere that makes everyone look forward to the workday. Get your share of our success by considering the opportunity to join our team as a Data Analyst I.  Job Summary:  Responsible for working with large and complex data sets (both internal and external data) to evaluate, recommend, and support the implementation of business strategies. Identifies and compiles data sets using a variety of tools (e.g. SQL, Access) to help predict, improve, and measure the success of key business to business outcomes. Responsible for documenting data requirements, data collection/processing/cleaning, and exploratory data analysis; which may include utilizing statistical models/algorithms and data visualization techniques. Incumbents in this role may often be referred to as Data Scientists.  Responsibilities: Day-to-day actions are focused on administering defined procedures, analysis and report preparation. Commands knowledge of data elements across the enterprise and industry � definitions, lineage and usage Executes creation of tabular operational reports and aggregation reports with medium to high complexity. Commands intermediate to expert level t-SQL coding proficiency Performs data mapping for systems integration, data provisioning, and data consumption Responsible for documenting metadata, data lineage, data definitions and business glossary entries. Handles basic data transformation tasks such as date and decimal formatting, rounding of numeric values, and conversion of numeric values to percentages. Has intermediate to expert level SSIS ETL build proficiency Works with Data stewards to enforce adherence to standards for enhancements and new repositories. Qualifications: Experienced professional with relevant and current skills (3-5 years). Primary focus is on daily deliverable of routine and defined outputs, while at the same time developing knowledge of the broader context in which the work is being performed. Bachelor�s degree in computer science, finance, mathematics, statistics (or similar) or equivalent work experience Total Rewards:  Cenlar FSB offers outstanding benefits which may include paid medical/dental/life insurance, 401k, employee ownership, tuition assistance, a supportive work environment, and genuine opportunities for advancement. Cenlar is a Drug Free Workplace and an Equal Employment Opportunity/Affirmative Action Employer -- M/F/D/V/SO.  Visit www.cenlar.com for more details.  Please apply online.",26,Cenlar 2.6,1001 - 5000 ,1958,Private Company,Not Available,Not Available,100 to 500 million ,75-131 ,Ewing, NJ, NJ,75000,131000,103000,66,NA,0,0,0,0
18,Data Analyst II,"The Data Analyst II is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.  WORK PERFORMED  To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.  Essential Functions of the Job:  Product Data � Responsible for managing product information levels to established standards Maintain data to meet company standards Data includes images, technical specifications and other data elements Ensure automated data feeds successfully populate materials Manually populate non-automated data as necessary via proprietary system Identify system enhancements to improve automated processes and quality of information Perform audits to ensure accuracy of assigned manufacturers or categories Communicate with providers and manufacturers to ensure complete product data is supplied Request necessary information Identify areas of improvement and provide feedback Review data standards for assigned manufacturers and/or categories Implement data standard improvements through manual and automated means to meet needs Provide customer service support for both external and internal customers Support and validate teammate adherence to master data policies. Material Maintenance � Responsible for maintaining product catalog to established standards; Performing Price File Maintenance Review automated data feeds for successful materials creation Ensure materials are created correctly via download process Identify and communicate reasons for automated failures to improve process Manually process download failures Determine if Sales requests meet Insight Catalog Policy Review opportunities and determine if it is appropriate business for Insight Provide guidance to address future opportunities Ensure materials are not added to the catalog that do not fit Insight strategy Manually create non-automated materials proactively or reactively according to company policy Create materials via proprietary systems and/or SAP Determine appropriate source, costing and categorization Process internal requests for creation Discontinue materials that are no longer available and/or based on company policy Other projects � Responsible for completing additional projects and assignments as required by the department All other assigned duties MINIMUM REQUIREMENTS  Education and/or Experience:  Associates degree or above from a college or university; or 3 years industry work experience.  KNOWLEDGE, SKILLS, AND ABILITIES  Following are the skills, knowledge and abilities necessary to perform this job Advanced spreadsheet skills Ability to analyze and troubleshoot information for resolution Ability to work well in cross-functional teams Ability to multi-task in a fast-paced environment Ability to meet aggressive service-level agreements Ability to take a complex process or technology and create easy-to-follow copy Excellent written and verbal communication, with strong editing skills Knowledge of AP style Vast knowledge of technical writing and styles associated with it Collaborating with marketing and IT on search engine relevancy as it relates to parts data�s influence Proficiency with MS Word, Excel, Outlook and SAP. Ability to write reports and/or business correspondence. Ability to effectively present information and respond to questions from groups of managers, customers, other employees. Ability to effectively present information to other departments and manufacturer representatives. Ability to read, analyze, and interpret business documents. Ability to effectively communicate via email, phone and in person. Ability to understand processes and identify areas of improvement. Ability to multi-task and demonstrate strong organizational details.",42,"Insight Enterprises, Inc. 4.2",5001 - 10000 ,1988,Public Company,Enterprise Software and Network Solutions,Information Technology,5 to 10 billion ,137-171 ,Tempe, TX, AZ,137000,171000,154000,36,NA,0,0,0,1
117,Data Analyst/Engineer,"Group Description  Client Group Technology creates and supports business innovating technology for the Client Group. The team is responsible for business innovation, project and relationship management, data and business intelligence, vendor management, and software development as it relates to the tools used by the over 500 Client Group staff globally.  The Client Group has a presence in the Americas, Europe, Asia and Australia, and is composed of five main areas: Sales & Client Services works with financial intermediaries and institutions to offer diversified investment solutions that help clients build and preserve their wealth Business Development is a conduit to the firm�s investment teams and supports our clients and internal business partners through investment-platform and product content, messaging, competitive analysis and education Product Strategy & Development designs, develops and manages the firm�s global lineup of investment services and considers clients� evolving needs to identify new opportunities Marketing promotes the firm and its services by creating, packaging and distributing content and messaging to engage diverse audiences through digital platforms and initiatives, strategic campaigns, and events Business Transformation looks to evolve and scale our business, leveraging digital and data, to drive top-line growth and improve profitability Describe the role: The role of the developer will be database developer / Analyst with excellent knowledge of Relational databases including Microsoft SQL Server, Sybase. Analyze Internal/external, alternative data sources and provide recommendations for integration and enrichment of existing data. Assist in management front/middle office requests to ensure alternative data is properly evaluated, implemented, and risk assessed. Responsible for the new development and on-going support and maintenance of the various data feeds from external vendors, transfer agents and Platform sales. Help drive continuous improvements to data quality procedures and a consistent approach to how data quality is measured, monitored and reported. Work with stakeholders within the organization to refine and improve knowledge and processes. Participate in corporate strategy initiatives which includes advanced data queries and coordinating with management staff on other business management efforts. Examine and identify database structural necessities by evaluating client operations, applications, and programming. Build automated process to aid in system performance by performing regular tests, troubleshooting and integrating new features. Recommend solutions to improve new and existing database systems. Educate staff members through training and individual support. Offer support by responding to system problems in a timely manner. Assist in our data Analytics / data science efforts Deliver well-commented, maintainable code to team standard, including unit and system tests Liaison with technical team and Business Analysts within AB and in some cases external vendors to understand and gather requirements and deliver results based on the requirements. Responsible for the new development and on-going support and maintenance of the various data feeds from external vendors, transfer agents and Platform sales. Responsible for application unit testing, troubleshooting, problem definition and resolution. Responsibilities also include documenting system enhancements and production turnover and documentation of new features. Supporting production jobs, by providing on-call support and expeditiously resolving data, performance and other issues as and when required. Fulfilling adhoc requests from power users. Typically, this call for specialized processing that includes extracting specific data from the production database, mass moves of data between different entities, comparing data between Dev and PROD environments. Describe the applications and business or enterprise functions the role supports:  The Dealer Marketing System (DMS) is the database used by all retail mutual fund applications. HighLine Datawarehouse a brand-new database being built by sourcing data from different systems/applications which will be the backbone of building new application that will sit on top of this Datawarehouse. Dealer Marketing System (DMS) is the database used by all retail mutual fund applications along with Customer Relationship application Salesforce (CRM), one point (data integrity maintenance), Business Intelligence Reports in MicroStrategy and SIMON (Mobile sales force application). It is the system of Record for domestic retail mutual funds sales, asset and transaction data.  Some of the key operations done by DMS are: Receiving and processing financial transaction data feeds (purchases, redemptions, exchanges) from domestic and international transfer agencies (DST, Omnibus, CORFAX), Broker Dealer Omnibus and Recordkeeper files Client specific Data are ingested such as Demographic data; data packs; Market Share and Recordkeeper files Generating aggregates used by downstream applications (Salesforce, SIMON etc.) Distributing data to all linked sites and systems: Domestic and international advisor Websites, Wholesaler portal. Allowing members of the Sales Data Management team to manage sales territory definitions, move trades from one region to another etc. The key job responsibilities include, but are not limited to: Directly responsible for the development, maintenance, and support of new and/or existing software applications. Analyze Business requirements and design reports using stored procedure to support business requirements Develop, maintain and support SSIS Packages related to the ETL process with SQL Server Integration Service (SSIS) Work with SQL and T-SQL/ANSI SQL to create & alter tables, stored procedures, functions, indexing. Work with SQL for query performance tuning, finding and resolving technical issues and developing SQL statements and reports. The developer will also be responsible for shell scripting for batch processing, ETL based integrations in Informatica and few reporting-based applications. Directly work with offshore team members and allocate work and get it completed. What makes this role unique or interesting?  This role is targeted to individuals that enjoy building software solutions that are data focused with an emphasis on supporting the sales and marketing process and building your expertise in warehouse, ETL, Business intelligence and data analytics.  What is the professional development value of this role?  This role provides the opportunity to learn the investment business as well as providing the opportunity to advance one�s technical skills with a focus on business intelligence, data and learn more on predictive and prescriptive analytics. Here are just a few of the technical areas this role will focus on: Building predictive & Prescriptive models & visualizations, Relational Database (SQL), Columnar database using Sybase IQ, Unstructured Data (NoSQL), ETL using Informatica & SSIS, using Data Analysis (Python).  Job Qualifications  Qualifications, Experience, Education: BS in Computer Science/Engineering, Finance, Mathematics/Statistics or a related major Skills: 7+ years of strong development experience on Microsoft SQL Server related Products in Datawarehouse environment supporting various upstream and downstream applications. The role requires in-depth knowledge of SQL Server (up to the latest versions -SQL Server 2016 and 2017) Strong experience writing SQL queries using multi-dimensional joins, triggers and stored procedures in SQL Server. Experience with object-oriented analysis and design (OOAD), layered software architecture and web technologies. Experience creating ETL design and mapping documentation using Informatica, SSIS. Experience in shell scripting/PowerShell for batch processes is needed. Some database experience in Sybase ASE/Sybase IQ is a plus Scripting in languages such as Python programing and Azure Cloud experience is a plus System administration server experience with configuration and support of Microsoft Windows Server, OLEDB/ODBC setups. Experience with consuming/creating web services/rest API will be a plus. DevOps (CI/CD) Proven ability to work with multiple cross-functional teams including development, QA and business analysis professionals Solid analytical and trouble-shooting skills coupled with experience supporting production environments Strong experience on working on multiple projects part of a offshore team within an onsite-offshore model with emphasis on processes, methodologies and structure to manage expectations of US based clients Must possess a strong work ethics well as ability to give directions to and manage results of a strong team of .NET and SQL developers Excellent business communication skills both written and verbal Strong onsite-offshore coordination skills and ability to work with US managers on priorities SQL server certified engineer a plus. Experience in financial industry with experience working building data interfaces with internal and external vendors and/or banking back office knowledge a plus. Experience working with formal project methodologies like waterfall/agile. Ability to work independently with minimal supervision. Exposure to test methodologies Ability to write technical documentation Nashville, Tennessee",32,AllianceBernstein 3.2,1001 - 5000 ,1967,Public Company,Investment Banking and Asset Management,Finance,2 to 5 billion ,99-132 ,New York, TN, NY,99000,132000,115500,57,NA,1,0,0,0
55,Data Analytics Engineer,"Analytics Engineer-Administration Summa Health System Full-time, w/benefits  Summa Health System is recognized as one of the region�s top employers by a number of third party organizations, including NorthCoast 99. Exceptional candidates gravitate to Summa because of its culture, passion for delivering excellent service to our patients and families commitment to our philosophy of servant leadership, collegial working relationships at every level of the organization and competitive pay and benefits.  Summary: Works with a team of technologists (Data Engineers and Visualization Engineers) to deliver insights across various aspects of Summa Health�s operational, financial, and clinical activities with the goal of leveraging data to drive and realize the full potential of the organization�s programs.  Minimum Qualifications:  Formal Education Required: -Bachelor�s degree in computer science, applied mathematics, statistics, or related discipline  Experience & Training Required: -Five (5) years of experience in a previous analytics role in healthcare domain involving healthcare data analysis to optimize business operations -Knowledgeable about the workings of integrated healthcare systems, health plan, research, and community programs -Experience in analyzing healthcare data using statistical methods to optimize business operations and communicating their findings using data visualization and detailed reports  Other Skills, Competencies and Qualifications: -Analytical mindset with good problem-solving skills -Excellent written and verbal communication skills -Acumen for analytics needs of an integrated health system how to use data to achieve those needs. -Ability to effectively interact with populations of patients/customers with an understanding of their needs for self-respect and dignity -Ability to summarize results and develop effective business presentations. -Ability to interact with populations both technical and non-technical, with an understanding of their needs for self-respect and dignity -Strong, critical thinker with ability to extend knowledge of information systems and applications to business processes and to cross team collaboration. Ability to explain complex, technical concepts to lay audiences and non-IT staff. -Basic knowledge of data warehousing, data marts -Experience with one or more Summa application platforms is desirable including Soarian Financials, DSS, HQ/HI, Epic/CarePATH and tools (RWB, Clarity, Caboodle, Radar, SlicerDicer, Registries), CostFlex, e-ClinicalWorks, GE Centricity, Lawson, Pentaho, SAS, Tableau.  1. Work with senior leaders within a line of business and across the enterprise to establish a measurement plan focused on outcomes 2. Work as a data strategist to identify and integrate datasets, data components, and attributes from various information systems to leverage information for business programs and objectives 3. Communicate, advise senior leaders about utilizing all relevant data, including clinical, operational, exposome, social determinate, economic and financial, to drive programmatic growth and achieve strategic outcomes 4. Gather baseline data information to understand current state and improvement opportunity 5. Identify data requirements based on analytical processes to measure the outcomes 6. Conduct descriptive/statistical analysis of the data set to validate hypothesis 7. Define the business requirements / specifications and user interface (Wireframes and Mockups) 8. Work with other members of CoE to develop mission control dashboards that measures the timely performance to outcome 9. Validate, deploy mission control dashboards 10. Educate Mission end users and advocate adoption of analytical tools 11. Support rolling out new insights, which are a result of discovery and exploratory exercises conducted, by citizen data analysts / scientists. 12. Ensuring that mission control insights remain relevant to achieving the desired outcome 13. Confirming that stakeholders are utilizing mission control in pursuit of that outcome 14. Surfacing new insights to drive continuous improvement 15. Communicate findings to stakeholders; implement improvement efforts as needed.     Level of Physical Demands: Light: Exerts up to 20 pounds of force occasionally and/or up to ten pounds of force frequently, and/or a negligible amount of force continuously. #LI-AV1",37,Summa Health System 3.7,5001 - 10000 ,1926,Nonprofit Organization,Health Care Services and Hospitals,Health Care,100 to 500 million ,75-131 ,Akron, OH, OH,75000,131000,103000,98,NA,0,0,0,0
566,Data Architect,"Job Title: Data Architect  Location: Orlando, Florida  Manager: Head of Data Science  About LSQ  LSQ Funding is a technology-driven provider of accounts receivable financing to companies who need working capital but may not be able to obtain sufficient financing from their bank. Our focus is to help businesses to release the liquidity tied up in their accounts receivable. With financing from LSQ, a business can purchase more inventory, fill more orders, and take advantage of new growth opportunities. Our creative and timely approach to providing working capital, along with our comprehensive accounts receivable management services, allows our clients to driving business success.  Job Overview  LSQ Funding is looking for a skilled and progressive Data Architect to join our growing team of analytics experts. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross-functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Architect will support database architects and engineers, data analysts and data scientists on data initiatives and will that ensure optimal data delivery architecture is consistent throughout ongoing projects.  Responsibilities for Data Architect Create and maintain optimal data pipeline architecture, Assemble large, complex data sets that meet functional / non-functional business requirements. Identify, design, and assist in the implementation of data-focused internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS big data technologies. Work with stakeholders including the Executive, Engineering and Data teams to assist with data-related technical issues and support their data infrastructure needs. Create data tools for analytics and data scientist team members that assist them in building and optimizing LSQ products into an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Qualifications for Data Engineer 1-3+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing big data data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with structured as well as unstructured datasets. A successful history of manipulating, processing and extracting value from large disconnected datasets. Below experience is preferred but not required: Experience with big data tools: Hadoop, Spark, Kafka, Data Bricks Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc. Experience with AWS cloud services: EC2, EMR, RDS, Redshift Experience with stream-processing systems: Storm, Spark-Streaming, etc. Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.",42,LSQ 4.2,51 - 200 ,1996,Private Company,Investment Banking and Asset Management,Finance,100 to 500 million ,128-201 ,Orlando, FL, FL,128000,201000,164500,28,NA,1,1,1,0
